"Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
"Frequency: Quarterly"
"Table: 36-10-0104-01 (formerly CANSIM 380-0064)"
"Release date: 2025-11-28"
"Geography: Canada"
""
""

"Prices","Chained (2017) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Final consumption expenditure","293,535","298,239","306,533","307,087","313,327","317,314","315,469","321,086","324,140","328,781","331,679","336,565","345,394","344,872","349,714","353,889","357,630","364,613","370,294","377,964","381,718","385,723","393,412","396,321","399,073","408,765","408,859","415,912","420,031","423,376","432,324","438,565","445,814","446,569","450,033","455,922","457,226","464,273","467,623","473,555","469,197","485,646","495,747","505,192","504,135","515,237","521,447","532,467","542,078","546,372","550,327","563,508","573,716","580,536","584,428","581,795","592,218","603,201","612,930","620,103","619,284","632,748","633,528","644,819","646,602","649,612","654,984","660,645","663,687","668,133","670,922","672,755","679,216","682,441","681,887","684,632","689,204","689,683","700,861","703,405","705,723","704,629","704,275","705,804","696,433","694,548","694,480","693,419","696,491","706,129","714,163","719,777","724,503","729,950","733,042","744,804","754,921","761,673","770,164","781,360","780,865","785,723","795,771","794,906","802,080","813,033","816,302","826,170","832,867","843,460","848,275","856,303","861,717","873,207","874,313","878,033","892,824","882,793","888,741","889,602","875,730","890,979","888,790","894,499","895,135","896,231","899,540","906,145","906,960","910,428","911,544","912,951","919,626","923,985","927,114","933,468","932,912","937,272","942,495","940,362","949,862","951,156","950,113","962,242","976,477","980,696","990,710","995,706","1,003,050","1,009,395","1,014,619","1,016,116","1,030,040","1,039,451","1,053,203","1,061,115","1,072,643","1,082,589","1,094,142","1,097,698","1,107,687","1,112,773","1,115,865","1,126,431","1,141,093","1,153,114","1,157,888","1,168,643","1,175,881","1,184,286","1,192,735","1,196,260","1,209,510","1,212,887","1,224,014","1,233,272","1,244,469","1,253,661","1,261,883","1,274,528","1,289,055","1,301,103","1,312,364","1,324,276","1,333,307","1,349,660","1,363,845","1,382,596","1,394,484","1,404,544","1,405,375","1,398,724","1,395,360","1,406,099","1,417,892","1,427,504","1,442,553","1,451,091","1,460,984","1,473,913","1,476,577","1,483,026","1,489,432","1,496,793","1,503,430","1,503,821","1,513,046","1,518,691","1,521,713","1,530,027","1,539,913","1,549,170","1,553,587","1,562,379","1,571,096","1,578,481","1,586,139","1,592,828","1,604,112","1,611,920","1,616,970","1,627,179","1,635,232","1,644,639","1,661,717","1,677,983","1,693,144","1,704,143","1,716,843","1,728,832","1,737,419","1,740,766","1,745,645","1,748,464","1,758,370","1,771,815","1,744,280","1,548,309","1,710,535","1,723,712","1,735,851","1,740,872","1,808,666","1,825,877","1,841,293","1,876,803","1,891,525","1,903,253","1,910,008","1,916,200","1,925,676","1,933,950","1,948,753","1,960,019","1,982,824","1,995,299","1,999,048","2,020,079","2,016,288"
"Household final consumption expenditure","193,805","197,421","202,241","203,009","207,687","208,873","207,986","211,777","213,212","217,082","218,342","222,099","226,274","226,918","231,404","233,048","235,172","240,839","244,765","249,765","251,393","252,687","257,358","257,448","259,850","264,618","264,291","269,596","272,466","273,726","278,975","282,896","289,370","288,064","290,788","294,392","291,596","293,698","299,342","302,110","300,150","310,477","317,353","324,240","325,369","333,471","336,070","343,714","352,962","355,425","358,041","364,379","374,470","376,277","378,006","373,504","381,724","386,436","393,340","400,070","399,815","410,171","411,714","420,155","418,612","417,567","424,081","428,064","431,165","434,052","436,086","437,306","443,397","443,408","444,640","445,758","448,668","446,922","454,577","457,153","457,893","457,459","455,028","456,126","449,363","445,804","444,050","442,498","448,765","454,367","459,834","464,845","469,405","474,285","474,825","483,051","488,708","493,136","502,914","508,090","507,331","513,420","520,555","520,818","526,116","534,657","539,405","545,262","548,587","556,475","559,961","567,002","571,085","578,438","576,517","580,259","588,986","581,867","581,901","579,868","567,778","577,298","576,775","580,023","580,016","582,263","585,354","587,468","590,654","592,891","596,952","598,632","608,864","609,771","612,418","619,542","619,235","623,835","630,445","630,421","638,799","639,579","641,612","652,710","662,959","668,084","676,915","681,660","682,363","691,076","694,865","696,387","706,087","712,673","721,165","728,173","736,143","742,547","751,978","753,281","759,456","760,662","762,418","771,679","783,112","792,630","794,245","802,228","806,524","813,563","821,166","822,692","833,673","837,823","845,617","852,442","864,319","871,784","877,599","885,914","898,341","906,453","916,427","925,876","934,111","948,250","957,158","974,704","982,379","983,497","984,088","972,176","969,145","977,618","988,296","995,077","1,006,207","1,014,755","1,022,938","1,032,231","1,034,075","1,038,684","1,042,916","1,049,329","1,055,390","1,056,611","1,063,083","1,068,940","1,075,684","1,085,631","1,093,686","1,100,513","1,104,216","1,114,332","1,122,436","1,130,580","1,132,744","1,138,294","1,146,797","1,154,867","1,155,549","1,160,112","1,168,218","1,177,060","1,189,849","1,205,490","1,217,083","1,224,190","1,232,356","1,239,269","1,246,431","1,246,298","1,253,025","1,256,041","1,261,611","1,270,170","1,242,827","1,064,743","1,201,575","1,207,196","1,213,271","1,212,792","1,278,209","1,290,949","1,300,850","1,335,517","1,344,883","1,351,824","1,358,421","1,358,493","1,361,214","1,370,827","1,377,484","1,382,672","1,398,538","1,407,635","1,410,604","1,425,080","1,423,546"
"Goods","85,028","87,370","89,798","89,474","93,335","93,741","93,038","95,494","96,123","98,187","98,438","100,647","102,787","102,774","105,266","106,047","107,092","110,008","112,218","114,663","115,403","115,407","117,981","117,753","119,378","123,147","122,965","124,192","125,064","125,730","128,095","129,683","133,594","132,809","134,023","136,304","134,670","135,030","138,996","141,899","140,420","145,682","149,794","155,102","155,472","160,127","161,058","166,694","171,861","173,257","174,498","178,460","185,101","185,608","186,730","181,833","186,772","189,908","193,792","198,356","195,357","201,610","201,267","206,638","204,206","202,855","206,607","209,391","210,235","212,284","213,005","213,995","218,195","217,788","218,870","218,076","218,295","215,877","220,706","221,957","223,235","221,236","219,495","221,111","214,492","213,008","212,018","210,612","214,057","217,168","220,577","223,675","225,900","229,660","229,328","233,040","236,231","238,943","244,334","247,525","245,322","247,499","252,623","249,879","249,725","255,457","256,860","259,116","261,255","262,534","264,922","267,559","266,165","269,975","266,309","267,196","269,296","265,551","264,594","261,341","254,357","260,427","258,894","257,373","258,000","258,598","259,821","262,305","263,514","263,793","264,536","264,905","271,055","271,434","272,767","277,521","275,694","276,842","279,989","279,116","281,717","282,659","282,703","288,663","292,362","296,474","300,692","304,247","302,387","309,177","311,506","310,515","316,281","318,879","324,592","327,344","331,512","334,374","339,643","337,468","340,818","342,817","341,357","348,805","356,113","358,783","358,649","365,187","367,056","368,995","372,346","368,824","375,098","376,491","379,808","382,877","386,907","389,368","390,244","391,598","397,671","403,433","409,178","410,546","414,972","423,107","425,174","431,042","437,998","438,787","438,398","431,426","428,772","431,922","436,449","439,282","444,099","444,596","450,221","453,442","451,283","452,651","455,129","458,843","460,599","459,372","461,664","464,344","467,930","472,973","478,318","482,644","482,755","487,995","491,936","495,204","495,087","496,967","503,223","507,317","508,701","508,219","509,436","514,547","522,458","532,835","535,079","538,216","543,020","545,292","548,666","547,914","550,073","551,171","551,087","551,246","532,887","487,915","568,791","569,017","569,715","556,937","574,504","575,748","582,625","585,831","582,982","583,263","589,162","587,666","584,414","591,193","589,286","590,546","597,461","605,751","608,972","612,023","608,972"
"Durable goods","7,744","8,190","8,933","8,723","9,497","9,479","9,200","9,843","9,882","10,494","10,197","11,157","11,536","11,459","11,980","11,624","12,236","13,133","13,309","13,668","14,259","13,240","14,342","14,526","14,223","15,320","15,005","14,815","15,430","15,758","16,273","16,722","17,591","17,127","17,196","17,575","16,386","16,533","17,224","16,601","17,045","18,374","19,507","21,052","20,635","21,896","22,256","24,048","26,039","25,828","26,123","27,104","28,490","28,780","28,741","26,474","28,200","29,084","30,798","32,850","30,173","32,474","31,595","33,512","33,480","32,266","32,620","33,304","33,211","34,498","34,994","34,489","35,665","35,514","36,185","35,613","35,298","33,106","35,334","35,849","36,633","36,380","34,237","34,811","31,765","31,587","31,251","31,951","33,294","35,279","36,819","37,970","39,933","40,431","40,986","42,398","43,492","45,863","47,424","49,025","49,173","48,455","50,520","49,051","50,481","52,682","52,929","54,166","55,296","55,830","56,082","56,725","55,761","58,030","55,293","55,668","57,184","54,823","54,124","53,354","50,720","54,768","54,085","51,904","52,575","52,523","53,313","53,604","53,135","53,347","53,937","53,884","55,235","55,510","55,153","57,800","55,639","55,492","57,216","57,162","57,400","57,810","58,481","61,937","63,416","65,247","66,924","70,667","66,564","70,349","70,833","70,542","73,053","73,476","76,310","77,569","79,242","80,340","82,766","79,536","81,672","82,729","82,302","87,020","89,621","90,343","89,934","92,490","92,506","93,723","96,092","92,197","94,844","95,433","96,281","97,689","99,192","100,719","101,451","101,178","104,081","106,215","109,194","110,238","110,780","115,167","114,438","117,095","122,760","122,343","121,597","115,074","112,113","115,176","119,015","121,252","121,384","120,646","123,113","125,137","122,809","124,099","124,002","127,212","129,849","127,383","127,199","127,740","130,458","134,246","134,834","134,778","135,860","140,150","142,977","143,177","140,533","142,600","146,682","149,592","150,359","148,862","149,054","152,382","157,720","161,495","162,066","162,828","164,687","165,829","165,620","166,001","166,620","166,019","165,758","164,776","145,654","125,563","171,059","171,340","168,798","166,515","168,118","169,717","173,631","171,361","169,672","170,381","175,632","174,000","175,731","181,735","180,662","178,549","182,253","186,074","183,748","185,652","183,465"
"Semi-durable goods","10,318","10,230","10,398","10,728","10,985","11,288","11,158","11,288","11,213","11,523","11,588","11,633","11,910","11,612","12,082","12,357","12,116","12,331","12,883","13,065","13,283","13,548","13,135","12,897","13,292","13,649","13,499","14,222","13,887","14,253","14,307","14,325","14,971","14,986","15,176","15,080","15,425","15,127","15,516","15,859","15,739","16,185","16,682","17,367","17,412","18,389","18,742","18,894","19,540","19,675","19,985","20,651","21,343","21,786","21,962","21,605","22,205","22,521","23,338","23,576","23,999","25,015","25,028","25,476","25,431","24,967","25,617","25,913","26,094","26,387","26,934","27,173","27,628","27,761","27,961","27,930","27,717","27,808","28,290","28,617","29,102","28,816","28,754","28,855","27,697","27,706","27,642","27,631","28,304","28,234","28,797","29,108","29,571","30,381","30,294","30,614","30,810","31,249","31,912","32,493","32,287","33,177","33,619","33,709","33,531","33,926","34,109","34,675","34,036","34,261","34,651","35,013","34,516","35,147","35,026","34,771","35,434","34,760","34,476","34,039","31,904","32,578","32,167","32,470","32,154","32,214","32,682","33,113","33,268","33,570","33,636","33,588","34,065","34,432","35,296","35,980","36,462","36,682","36,802","36,051","36,605","36,800","36,888","37,222","37,856","37,880","38,830","38,591","40,025","40,128","40,556","40,312","40,971","41,412","42,045","42,051","42,901","43,221","44,283","44,496","44,946","45,820","45,385","46,603","47,725","48,052","47,666","48,627","49,472","49,918","50,137","50,064","51,277","51,667","52,506","52,394","53,678","54,456","54,421","55,463","57,428","58,464","59,286","59,774","61,290","61,779","63,054","63,466","64,168","65,276","65,751","65,589","64,509","64,551","64,746","64,899","67,901","67,458","68,863","69,517","69,595","69,751","70,579","71,768","72,428","71,878","72,928","73,182","73,856","73,935","75,706","76,998","75,956","77,334","78,213","78,774","78,968","80,078","80,609","81,932","82,258","81,311","81,114","81,535","82,890","84,969","85,688","86,405","87,444","87,483","88,419","88,379","88,941","89,884","89,652","90,044","81,544","68,802","90,229","88,557","89,117","85,640","99,735","99,878","98,987","104,384","102,848","102,844","105,892","105,230","101,295","101,964","102,676","104,228","105,258","108,165","111,578","112,639","113,443"
"Non-durable goods","84,762","87,354","88,397","87,649","90,701","90,586","90,694","92,257","93,366","93,906","95,079","95,468","96,973","98,031","99,133","100,716","101,184","102,523","103,999","106,339","105,144","107,433","109,434","109,175","111,573","113,329","114,409","114,876","115,423","114,487","116,597","117,784","119,670","119,706","120,915","123,722","123,550","124,535","127,761","133,189","129,899","133,203","135,124","137,292","138,897","140,048","139,559","143,086","144,108","146,419","146,758","148,600","153,402","152,344","153,668","152,783","154,467","156,223","155,971","157,317","158,152","159,556","161,053","163,393","160,038","161,903","165,005","166,805","167,798","167,273","166,042","167,993","170,390","169,857","169,497","169,663","171,110","172,219","173,191","173,169","172,319","170,677","172,708","173,563","172,848","171,181","170,617","167,481","168,293","168,907","169,552","170,971","169,545","172,079","170,832","172,603","174,478","173,108","176,190","176,529","173,824","176,280","178,505","177,367","175,000","177,903","178,959","178,753","180,714","181,045","182,987","184,633","185,397","185,274","185,436","186,392","185,367","185,683","186,105","184,008","183,120","183,286","183,141","184,032","184,344","185,066","184,554","186,443","188,392","187,884","187,790","188,414","193,172","192,546","193,252","193,763","194,106","195,407","196,384","196,687","198,617","198,802","197,621","198,972","200,160","202,344","203,327","202,251","203,961","206,272","207,685","207,324","209,435","211,253","212,858","214,308","215,468","216,790","217,883","219,611","219,831","219,339","218,880","219,148","222,405","224,049","225,047","227,750","228,665","228,625","229,005","230,245","232,213","232,486","233,992","235,812","236,690","236,479","236,595","237,069","237,692","240,122","241,807","241,437","243,714","246,751","248,277","251,014","251,204","251,193","251,034","250,876","252,525","252,485","252,861","253,255","254,699","256,492","258,126","258,602","258,713","258,628","260,349","259,667","258,152","259,916","261,313","263,197","263,418","264,649","267,603","270,651","270,750","270,448","270,762","273,240","275,517","274,219","275,902","275,776","276,066","278,054","279,287","280,645","281,851","286,370","287,324","288,983","290,896","291,989","294,616","293,540","294,521","295,276","295,671","296,403","305,189","292,876","307,068","308,629","311,324","304,233","306,939","306,455","310,118","310,738","310,920","310,518","308,634","309,303","307,863","308,146","306,754","308,655","310,923","312,867","315,356","315,604","314,119"
"Services","113,626","114,205","116,402","118,187","117,274","118,194","118,308","118,944","119,800","121,334","122,654","123,754","125,609","126,572","128,164","129,020","130,062","132,566","133,929","136,370","137,283","139,088","140,836","141,393","141,771","141,536","141,421","146,445","148,785","149,320","152,260","154,773","156,699","156,307","157,841","158,761","157,812","159,961","160,809","159,696","159,561","164,371","166,626","167,040","167,889","170,864","172,677","173,612","177,250","178,185","179,548","181,396","183,822","185,299","185,742","187,583","190,309","191,429","194,112","195,610","199,628","203,103","205,401","207,898","209,418","210,031","212,522","213,386","215,826","216,425","217,802","217,895","219,322","219,879","219,857","222,197","225,251","226,471","228,833","230,132","229,268","231,448","230,979","230,071","231,152","229,033","228,334","228,409","231,044","233,362","235,142","236,810","239,094","239,763","240,796","245,301","247,581","249,096","253,206","254,951","256,899","260,948","262,463","266,192","272,280","274,595","278,124","281,816","282,831","290,006","290,892","295,415","301,685","305,089","307,555","310,607","317,680","314,453","315,682","317,476","312,764","315,770","317,090","322,539","321,768","323,502","325,400","324,717","326,733","328,827","332,345","333,725","337,525","338,057","339,346","341,479","343,244","346,827","350,258","351,232","357,165","356,919","359,027","364,020","370,686","371,440","376,010","377,009","379,842","381,404","382,787","385,486","389,253","393,278","395,813","400,111","403,834","407,372","411,399","415,222","417,970","416,988","420,504","421,902","425,763","432,792","434,646","435,723","438,155","443,408","447,661","453,209","457,750","460,559","465,052","468,801","476,798","481,903","487,053","494,312","500,593","502,677","506,754","515,114","518,848","524,668","531,680","543,516","543,949","544,256","545,287","540,462","540,144","545,489","551,646","555,599","561,913","570,103","572,580","578,687","582,825","586,099","587,820","590,478","594,825","597,356","601,559","604,730","607,864","612,747","615,404","617,873","621,502","626,356","630,510","635,391","637,681","641,353","643,590","647,567","646,870","651,907","658,795","662,526","667,396","672,660","681,999","685,968","689,326","693,971","697,757","698,379","702,943","704,861","710,504","718,891","709,871","577,302","633,660","639,032","644,406","656,739","704,778","716,397","719,331","751,509","764,159","770,992","771,530","773,175","779,373","782,112","790,828","794,784","803,765","804,567","804,312","815,756","817,235"
"Non-profit institutions serving households' final consumption expenditure","2,992","3,129","3,232","3,262","3,365","3,532","3,703","3,840","3,879","3,982","3,986","4,020","4,020","4,020","4,089","4,265","4,334","4,338","4,407","4,544","4,642","4,642","4,779","4,809","4,672","4,775","4,706","4,637","4,504","4,371","4,440","4,264","4,328","4,392","4,567","4,533","4,606","4,674","4,644","4,747","4,649","4,884","5,060","4,962","5,279","5,258","5,434","5,571","5,374","5,357","5,588","5,866","5,926","6,414","6,119","6,162","6,201","6,295","6,475","6,514","6,672","6,869","6,925","7,062","7,083","7,220","7,062","7,041","7,144","7,200","7,436","7,616","7,890","8,301","8,104","8,301","8,468","8,361","8,451","8,922","9,273","9,080","8,904","8,735","8,416","8,265","8,298","8,307","8,298","8,155","8,138","8,147","7,634","7,735","7,777","7,937","8,517","8,609","8,399","8,542","8,693","8,529","8,664","8,442","8,156","8,208","8,056","8,582","8,874","8,862","8,874","9,189","9,306","9,551","9,773","9,831","10,351","10,771","11,040","11,156","11,425","11,653","11,892","12,073","12,262","12,458","12,545","12,621","12,643","12,605","12,545","12,409","12,164","12,229","12,300","12,480","12,545","12,790","13,111","13,367","13,781","14,238","14,957","15,883","17,233","17,970","18,089","18,096","17,820","17,589","17,820","18,433","19,221","20,021","20,609","20,747","20,759","20,903","21,259","21,772","21,597","21,828","22,272","22,754","23,424","24,329","24,466","24,562","23,885","23,811","23,481","22,905","22,644","22,251","22,649","23,065","23,646","23,947","24,300","24,676","25,006","25,086","24,950","24,978","24,154","24,351","24,489","25,085","25,882","26,831","27,189","27,267","26,950","26,075","24,998","24,539","24,773","25,089","25,282","26,024","26,497","26,753","27,111","27,102","27,076","27,351","27,501","27,528","28,126","28,301","28,031","27,886","27,380","27,586","27,984","28,472","28,271","28,961","29,269","30,164","31,055","32,152","32,165","31,792","31,752","31,744","32,020","32,124","32,384","32,880","32,728","33,040","33,232","33,356","33,948","34,676","34,952","32,344","33,684","34,748","33,736","33,536","33,992","34,808","35,384","36,176","36,344","36,456","37,228","38,008","38,464","38,804","38,828","38,884","39,060","39,260","39,412","39,532","39,764"
"General governments final consumption expenditure","98,078","98,488","102,535","101,886","102,819","106,688","105,117","106,750","108,820","108,732","111,041","111,683","117,906","115,836","115,021","118,321","120,100","120,618","122,173","124,812","127,441","131,224","134,400","138,573","138,765","144,793","145,585","147,147","148,575","151,593","155,722","158,509","158,224","161,370","161,540","164,186","170,251","176,639","172,600","176,231","173,434","179,717","182,690","185,267","181,616","184,451","188,582","191,726","191,353","193,435","194,462","202,126","200,856","206,307","209,335","212,173","213,934","221,187","223,747","223,544","222,615","225,182","224,016","226,494","230,653","235,418","233,702","235,465","234,947","236,487","236,856","237,267","236,720","240,017","238,029","239,613","241,143","244,202","247,679","246,671","247,790","247,312","250,330","251,010","248,899","251,446","253,589","254,303","249,896","254,544","257,223","257,505","258,138","258,237","261,238","264,575","268,573","270,876","268,773","275,438","275,589","273,788","276,499","275,463","277,776","279,902","277,962","281,444","284,771","287,417","288,719","288,805","289,888","293,888","297,318","296,904","302,683","299,097","305,704","309,111","307,509","313,289","311,016","313,447","313,952","312,184","312,118","317,134","314,100","315,441","311,795","311,541","307,003","310,889","311,184","309,573","309,216","308,306","305,815","303,017","303,238","303,211","298,582","297,912","300,334","298,101","298,712","298,651","306,684","303,542","304,696","303,877","307,260","309,229","314,132","314,546","318,113","321,619","323,123","325,095","329,259","333,396","334,353","334,806","337,134","338,513","341,855","344,446","348,223","349,462","350,364","353,119","355,400","354,761","357,677","359,613","357,687","358,952","360,982","365,004","366,465","370,375","371,577","373,907","375,405","377,161","382,422","382,552","385,977","394,401","394,258","399,973","400,012","403,150","405,287","408,613","412,274","411,805","413,263","416,126","416,461","418,038","419,860","420,780","421,337","420,190","422,795","422,510","418,089","416,227","418,312","420,884","422,097","420,519","420,711","419,438","425,153","425,599","428,068","426,881","430,380","434,964","434,878","435,798","440,122","440,746","444,040","447,828","452,103","456,686","458,262","461,436","459,393","459,071","462,808","466,957","466,398","449,603","474,621","481,009","487,975","493,539","495,854","499,514","504,429","504,640","509,818","514,489","513,863","519,223","525,519","523,880","531,939","537,919","544,667","547,847","548,486","554,892","552,455"
