"Gross domestic product, income-based, quarterly (x 1,000,000)"
"Frequency: Quarterly"
"Table: 36-10-0103-01 (formerly CANSIM 380-0063)"
"Release date: 2025-11-28"
"Geography: Canada"
""
""

"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compensation of employees","445,044","452,520","462,572","465,160","471,780","478,508","483,120","490,476","493,916","502,224","510,992","521,372","533,900","550,864","558,748","564,580","570,652","573,432","575,612","579,484","586,464","592,396","600,148","609,604","614,400","616,520","622,344","631,568","642,544","654,036","662,556","667,896","676,436","687,544","699,376","710,392","720,152","733,120","744,460","755,320","769,332","781,976","787,436","796,976","810,872","820,104","824,156","823,776","813,524","808,560","809,620","816,588","822,220","831,500","841,988","855,024","871,464","877,708","886,260","896,748","906,596","918,772","930,300","937,984","949,648","955,104","964,012","975,952","983,524","993,724","1,006,504","1,010,100","1,021,492","1,027,372","1,028,580","1,029,940","1,020,836","1,022,816","1,026,748","1,035,532","1,046,532","1,058,860","1,078,692","1,095,740","1,114,100","1,121,080","1,130,008","1,142,604","1,151,640","1,167,164","1,181,868","1,198,464","1,185,424","1,085,764","1,169,480","1,203,360","1,231,196","1,247,592","1,284,224","1,314,684","1,357,100","1,380,416","1,394,032","1,416,520","1,442,436","1,475,668","1,494,180","1,507,876","1,530,804","1,557,428","1,583,840","1,599,880","1,612,112","1,616,536","1,633,972"
"Wages and salaries","387,024","394,364","403,988","406,648","412,564","418,948","423,220","429,932","433,364","440,860","448,396","457,768","469,196","484,896","491,724","496,496","501,536","503,264","504,760","507,740","512,732","516,968","522,920","530,640","534,608","536,588","541,596","549,600","559,184","568,820","576,156","580,800","589,108","599,304","610,052","620,020","628,660","640,276","650,196","659,904","672,336","683,448","688,048","696,092","709,332","717,256","719,756","718,332","707,592","702,244","702,484","708,368","713,564","722,120","731,592","743,188","756,808","762,244","769,464","778,164","786,272","796,192","805,404","810,728","820,076","823,448","830,520","840,904","848,120","857,052","868,172","870,868","880,528","885,148","885,672","886,292","876,816","877,344","879,776","886,616","900,336","912,348","930,360","945,328","960,356","966,412","974,652","986,268","994,648","1,008,468","1,021,252","1,034,668","1,022,892","936,072","1,008,420","1,038,524","1,064,216","1,079,732","1,112,576","1,139,588","1,176,140","1,197,096","1,209,188","1,229,604","1,251,860","1,280,800","1,296,848","1,308,660","1,328,840","1,352,112","1,375,068","1,388,804","1,399,244","1,402,928","1,417,852"
"Employers' social contributions","58,020","58,156","58,584","58,512","59,216","59,560","59,900","60,544","60,552","61,364","62,596","63,604","64,704","65,968","67,024","68,084","69,116","70,168","70,852","71,744","73,732","75,428","77,228","78,964","79,792","79,932","80,748","81,968","83,360","85,216","86,400","87,096","87,328","88,240","89,324","90,372","91,492","92,844","94,264","95,416","96,996","98,528","99,388","100,884","101,540","102,848","104,400","105,444","105,932","106,316","107,136","108,220","108,656","109,380","110,396","111,836","114,656","115,464","116,796","118,584","120,324","122,580","124,896","127,256","129,572","131,656","133,492","135,048","135,404","136,672","138,332","139,232","140,964","142,224","142,908","143,648","144,020","145,472","146,972","148,916","146,196","146,512","148,332","150,412","153,744","154,668","155,356","156,336","156,992","158,696","160,616","163,796","162,532","149,692","161,060","164,836","166,980","167,860","171,648","175,096","180,960","183,320","184,844","186,916","190,576","194,868","197,332","199,216","201,964","205,316","208,772","211,076","212,868","213,608","216,120"
"Gross operating surplus","220,108","218,372","219,900","226,464","227,528","218,556","213,300","220,300","234,480","243,096","257,876","266,836","279,172","288,808","300,352","300,404","313,816","310,088","289,936","284,464","292,040","308,324","318,148","326,284","345,800","334,044","339,888","343,392","351,392","366,612","377,460","386,516","388,852","393,172","416,948","434,004","426,736","426,008","426,548","423,544","432,756","443,964","441,132","449,860","472,436","499,312","507,740","436,344","382,456","378,888","392,496","427,720","450,932","445,196","439,944","460,632","479,444","489,252","504,420","517,280","504,704","494,048","491,588","493,644","511,196","511,252","523,216","527,404","546,420","557,232","565,756","559,568","513,136","500,552","511,780","495,200","510,072","502,968","535,628","555,428","572,812","573,452","561,224","579,832","584,156","605,924","613,140","579,944","596,332","616,776","605,660","614,892","593,092","568,264","648,324","663,072","723,348","752,008","743,000","782,008","842,196","912,576","887,296","856,148","836,600","815,376","854,736","847,444","821,032","842,972","852,064","877,580","893,932","877,816","897,912"
"Net operating surplus: corporations","111,104","108,008","107,864","112,536","110,940","100,028","92,832","97,960","112,068","118,156","130,964","137,888","148,088","155,392","164,564","162,104","173,312","167,836","145,828","138,840","145,368","159,724","167,964","174,316","196,508","183,392","187,448","189,068","197,164","209,916","218,940","225,288","226,164","227,800","248,532","262,352","250,956","246,904","244,176","237,652","243,252","251,584","245,540","251,092","264,828","288,788","294,200","219,736","161,704","157,672","170,436","204,508","233,460","225,276","217,356","235,116","252,860","259,580","272,156","281,648","267,340","252,200","246,048","244,580","263,044","257,700","264,480","265,368","284,300","290,292","295,912","285,988","232,060","217,920","224,864","206,004","219,116","209,476","243,612","262,848","280,600","280,004","269,696","284,812","287,548","305,316","306,080","270,080","284,336","300,556","289,160","294,856","269,792","244,480","324,516","340,588","397,772","419,776","401,400","432,936","484,872","545,776","511,412","472,572","449,984","423,252","458,032","445,996","416,484","430,968","434,792","454,760","465,096","447,264","463,532"
"Consumption of fixed capital: corporations","83,708","84,940","86,440","88,172","90,800","92,624","94,444","96,164","95,964","98,176","99,796","101,416","102,944","104,796","106,792","108,960","110,960","112,244","113,716","114,840","115,488","117,084","118,380","119,880","117,212","118,240","119,612","121,076","120,732","122,564","123,896","126,020","127,292","129,368","131,736","134,264","137,404","140,092","142,684","145,528","148,168","150,196","152,444","154,672","161,680","163,516","165,628","167,892","172,092","171,736","171,600","171,592","166,420","167,800","169,396","171,208","171,220","173,264","174,836","177,200","178,900","182,084","184,748","187,312","186,728","191,232","195,264","197,852","197,900","202,080","204,520","207,820","214,488","215,280","218,664","220,708","222,220","224,592","222,552","222,452","221,744","222,304","220,532","223,472","224,228","227,220","232,068","234,160","235,716","239,248","239,324","242,164","244,448","245,304","244,772","242,544","244,144","249,320","256,824","262,344","268,264","274,988","281,952","288,960","291,632","295,672","298,872","302,400","304,312","310,240","314,328","318,036","322,516","323,776","326,584"
"Consumption of fixed capital: general governments and non-profit institutions serving households","25,296","25,424","25,596","25,756","25,788","25,904","26,024","26,176","26,448","26,764","27,116","27,532","28,140","28,620","28,996","29,340","29,544","30,008","30,392","30,784","31,184","31,516","31,804","32,088","32,080","32,412","32,828","33,248","33,496","34,132","34,624","35,208","35,396","36,004","36,680","37,388","38,376","39,012","39,688","40,364","41,336","42,184","43,148","44,096","45,928","47,008","47,912","48,716","48,660","49,480","50,460","51,620","51,052","52,120","53,192","54,308","55,364","56,408","57,428","58,432","58,464","59,764","60,792","61,752","61,424","62,320","63,472","64,184","64,220","64,860","65,324","65,760","66,588","67,352","68,252","68,488","68,736","68,900","69,464","70,128","70,468","71,144","70,996","71,548","72,380","73,388","74,992","75,704","76,280","76,972","77,176","77,872","78,852","78,480","79,036","79,940","81,432","82,912","84,776","86,728","89,060","91,812","93,932","94,616","94,984","96,452","97,832","99,048","100,236","101,764","102,944","104,784","106,320","106,776","107,796"
"Gross mixed income","115,092","116,144","117,128","118,360","121,120","121,668","123,016","124,436","124,464","126,552","127,892","128,812","130,896","131,996","133,824","136,228","138,840","139,180","140,524","141,848","143,536","145,012","146,460","148,492","149,068","150,112","151,716","153,440","155,016","157,488","159,272","160,364","160,052","162,176","164,220","165,248","165,188","168,572","171,004","173,372","177,076","179,400","181,184","183,644","186,944","189,016","189,940","188,064","188,388","190,268","192,168","193,772","194,592","197,116","200,292","203,412","203,724","205,748","207,524","209,796","210,944","211,680","215,444","216,272","217,676","220,664","223,276","222,668","223,696","226,456","228,552","229,960","232,260","234,256","235,828","239,116","240,828","248,600","243,324","244,860","248,048","250,996","253,560","257,672","257,532","260,648","261,876","265,456","268,540","272,896","278,000","283,920","282,156","271,396","278,396","279,100","286,176","290,544","293,440","294,200","300,872","309,744","316,900","323,800","330,936","335,628","344,756","355,480","361,852","372,084","381,400","391,504","391,432","397,300","405,800"
"Net mixed income","88,372","89,060","90,020","90,936","92,580","93,416","94,436","95,928","95,908","97,556","98,592","99,176","101,096","101,776","103,112","105,024","106,528","106,948","108,048","109,020","109,972","111,004","112,056","113,948","114,980","115,584","117,036","118,532","119,924","121,912","123,232","124,132","123,772","125,056","126,580","127,244","127,496","130,548","132,096","133,872","136,668","138,312","139,368","141,020","143,616","144,612","144,984","142,456","142,312","143,912","145,460","146,996","147,392","149,728","152,364","155,036","155,284","156,856","158,536","160,028","161,544","161,536","163,516","165,128","166,168","167,244","168,224","169,220","168,968","171,856","173,060","174,432","175,608","177,252","178,332","180,796","182,032","183,900","183,256","185,120","186,528","189,220","191,424","194,124","192,888","194,420","195,708","199,452","201,412","205,600","210,068","214,920","212,768","201,244","207,856","207,348","212,668","214,324","212,724","211,324","215,036","222,092","228,348","233,888","241,268","245,404","253,812","262,888","268,680","278,492","286,908","295,612","294,312","299,104","307,064"
